ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-269,61c2b5ed,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,1100.0,0.0,1100.0,0.0,0.3111,5420.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-267,2799ba73,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,525.0,0.0,525.0,0.0,0.3333,525.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-270,ffe1b6d0,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-273,facd06b3,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_EP,Travaux BT,EP,fbeef696,U,52.0,0.0,52.0,0.0,0.1556,52.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-276,22f0373d,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,106.0,37.0,69.0,0.3490566037735849,0.0467,106.0,0.0163009433962264,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-275,5b85268e,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,13.0,3.0,10.0,0.2307692307692307,0.0333,13.0,0.0076846153846153,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-271,1b568b95,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-260,ada7077b,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,57.0,34.0,23.0,0.5964912280701754,0.42,105.0,0.1359999999999999,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-261,7695b4ad,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,39.0,25.0,14.0,0.6410256410256411,0.42,105.0,0.1,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-262,c363bac0,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_BT,Travaux BT,PBA 9C650,9c6af0a4,U,9.0,5.0,4.0,0.5555555555555556,0.42,105.0,0.02,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-263,91f40be5,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_HTA,Travaux HTA,PBA 11A1250,058e9b6a,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-264,00703b48,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_HTA,Travaux HTA,PBA 13A400,cd39f595,U,7.0,3.0,4.0,0.4285714285714285,0.3,14.0,0.0642857142857142,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-265,6ee66905,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_HTA,Travaux HTA,PBA 13C1250,50dc40e9,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-266,3ed5849d,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_HTA,Travaux HTA,PBA 13C800,d6344558,U,4.0,0.0,4.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-966,P2AE-OBJ-117b49a8,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_PBA_HTA,Travaux HTA,PBA 11C650,26e8ec03,U,1.0,0.0,1.0,0.0,0.3,14.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-272,79e436b2,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_TFO,Travaux HTA,Transformateur 160 kVA,8ae558c8,U,1.0,0.0,1.0,0.0,0.1667,1.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-274,5fac86af,ALI_Gog_03,Localite_006,ALIBORI,Commune_C,P2AE_Terre,Travaux BT,Mise à la terre,002f1a3d,U,36.0,0.0,36.0,0.0,0.0667,36.0,0.0,En Cours,7.1977527423071965,27.2273716024624,18.45439854171442,0
HC-417,5e531320,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,2320.0,1772.5,547.5,0.7640086206896551,0.3111,3360.0,0.1641145089285714,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-418,a84ed8dd,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,1040.0,0.0,1040.0,0.0,0.3111,3360.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-416,605l67563,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,100.0,58.18,41.82,0.5818,0.3333,100.0,0.1939139399999999,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
HC-419,609f3b2f,ALI_Kan_06,Localite_015,ALIBORI,Commune_D,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,25.104272074266248,57.57784997060518,43.35442285200873,0
