ID_Objectif,ID_Projet,ID_Geo,Nom_Geo_1,Nom_Geo_2,ID_Localite,ID_Tache,Designation,Quantite_Prevue,ID_Materiel
9f11f717,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_Cable_BT,PRC 50mm²,18980.0,8e6b4946
51d6e5b9,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_Cable_BT,PRC 70mm²,6530.0,59dc5a38
c9874f00,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_DMT,Point Double DMT-CC,3.0,a4425df9
668671ea,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_IACM,IACM,3.0,21f4f4d7
c296ab46,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_TFO,Transformateur 160 kVA,3.0,8ae558c8
ec97f54f,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_EP,EP,242.0,fbeef696
365bfb54,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_Terre,Mise à la terre,171.0,002f1a3d
2f35ed01,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_Fouille_HTA,Fouille réseau haute tension,83.0,f03cfc0b
f0a3f7fd,P2AE,,ATACORA,Natitingou,ATA_Nat_03,P2AE_Fouille_BT,Fouille réseau basse tension,530.0,e221b25e
c3c0b257,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_BT,PBA 11C650,4.0,29ef61f5
080fae9d,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_BT,PBA 9A200,93.0,2ec17c4d
bd034300,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_BT,PBA 9A650,61.0,215ac167
ae93e567,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_BT,PBA 9C650,6.0,9c6af0a4
44a3e172,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_BT,PBA 9C800,1.0,526229bb
58cd4f6b,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_HTA,PBA 11A1250,1.0,058e9b6a
76f3a49a,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_HTA,PBA 12A800,1.0,46cfa5f8
b4d71117,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_HTA,PBA 13A400,2.0,cd39f595
9a98312d,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_PBA_HTA,PBA 13C800,7.0,d6344558
c7cc9d4f,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Cable_HTA,ASTER 54mm²,330.0,e9e0a228
e8192e4b,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Cable_BT,PRC 50mm²,5050.0,8e6b4946
fde5e43f,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Cable_BT,PRC 70mm²,1366.0,59dc5a38
7c9aa6d9,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_DMT,Point Double DMT-CC,1.0,a4425df9
1c107945,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_IACM,IACM,1.0,21f4f4d7
14ca8f63,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_TFO,Transformateur 160 kVA,1.0,8ae558c8
bf37d19e,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_EP,EP,78.0,fbeef696
c0c5c760,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Terre,Mise à la terre,53.0,002f1a3d
603ad3ca,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Fouille_HTA,Fouille réseau haute tension,11.0,f03cfc0b
e8552acf,P2AE,,ATACORA,Natitingou,ATA_Nat_04,P2AE_Fouille_BT,Fouille réseau basse tension,166.0,e221b25e
e4360484,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_BT,PBA 11C650,2.0,29ef61f5
3793cf65,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_BT,PBA 9A200,100.0,2ec17c4d
9ce4e59e,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_BT,PBA 9A650,75.0,215ac167
ef457d5c,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_BT,PBA 9C650,18.0,9c6af0a4
0f4b1849,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_HTA,PBA 11A1250,2.0,058e9b6a
85afaf29,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_HTA,PBA 12A800,3.0,46cfa5f8
739g8292,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_HTA,PBA 13A400,3.0,cd39f595
7ed7efde,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_PBA_HTA,PBA 13C800,4.0,d6344558
01ba5478,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Cable_HTA,ASTER 54mm²,390.0,e9e0a228
c75dff00,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Cable_BT,PRC 50mm²,8468.0,8e6b4946
21fcfe27,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Cable_BT,PRC 70mm²,1470.0,59dc5a38
7ad33e05,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_DMT,Point Double DMT-CC,2.0,a4425df9
99576d3a,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_IACM,IACM,2.0,21f4f4d7
1d67c8ef,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_TFO,Transformateur 160 kVA,2.0,8ae558c8
14ca48b2,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_EP,EP,108.0,fbeef696
66c67160,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Terre,Mise à la terre,77.0,002f1a3d
d7fa71d0,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Fouille_HTA,Fouille réseau haute tension,12.0,f03cfc0b
8c60c9ec,P2AE,,ATACORA,Natitingou,ATA_Nat_05,P2AE_Fouille_BT,Fouille réseau basse tension,197.0,e221b25e
3085c4a3,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_BT,PBA 11C650,3.0,29ef61f5
422de455,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_BT,PBA 9A200,126.0,2ec17c4d
c2fb3dc1,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_BT,PBA 9A650,125.0,215ac167
6e8fd6a9,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_BT,PBA 9C650,11.0,9c6af0a4
0d18dab7,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_HTA,PBA 11A1250,3.0,058e9b6a
76a20db1,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_HTA,PBA 12A800,53.0,46cfa5f8
7325b66c,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_PBA_HTA,PBA 13C800,6.0,d6344558
be3e8bf4,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Cable_HTA,ASTER 54mm²,250.0,e9e0a228
4a2b6e8d,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Cable_BT,PRC 50mm²,6965.0,8e6b4946
85df3d66,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Cable_BT,PRC 70mm²,7256.0,59dc5a38
5d06293f,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_DMT,Point Double DMT-CC,3.0,a4425df9
e26e5ea8,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_IACM,IACM,3.0,21f4f4d7
3496527a,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_TFO,Transformateur 160 kVA,3.0,8ae558c8
14510f08,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_EP,EP,115.0,fbeef696
07a256a1,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Terre,Mise à la terre,95.0,002f1a3d
dfe5997c,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Fouille_HTA,Fouille réseau haute tension,62.0,f03cfc0b
2450a8ba,P2AE,,ATACORA,Natitingou,ATA_Nat_06,P2AE_Fouille_BT,Fouille réseau basse tension,268.0,e221b25e
f382d4c0,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_BT,PBA 9A200,29.0,2ec17c4d
6c745148,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_BT,PBA 9A650,15.0,215ac167
703ee8ad,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_BT,PBA 9C650,5.0,9c6af0a4
a1207f30,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_HTA,PBA 11A1250,1.0,058e9b6a
48e94bf8,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_HTA,PBA 12A800,1.0,46cfa5f8
75c8e317,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_HTA,PBA 13A400,7.0,cd39f595
d0a63fec,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_PBA_HTA,PBA 13C800,5.0,d6344558
082de73e,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Cable_HTA,ASTER 54mm²,55.0,e9e0a228
aa15697f,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Cable_HTA,ASTER 75mm²,200.0,630f858d
e1b6ea09,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Cable_BT,PRC 50mm²,2930.0,8e6b4946
98d97d07,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Cable_BT,PRC 70mm²,505.0,59dc5a38
47f701e3,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_DMT,Point Double DMT-CC,1.0,a4425df9
e92ae43c,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_IACM,IACM,1.0,21f4f4d7
c25ae340,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_TFO,Transformateur 160 kVA,1.0,8ae558c8
9211fce7,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_EP,EP,40.0,fbeef696
e6307f93,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Terre,Mise à la terre,31.0,002f1a3d
2868d5de,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Fouille_HTA,Fouille réseau haute tension,14.0,f03cfc0b
ba5a771d,P2AE,,ATACORA,Natitingou,ATA_Nat_07,P2AE_Fouille_BT,Fouille réseau basse tension,57.0,e221b25e
f4d3039c,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_BT,PBA 9A200,97.0,2ec17c4d
8f0a6802,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_BT,PBA 9A650,81.0,215ac167
1b18d358,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_BT,PBA 9C650,23.0,9c6af0a4
d2165126,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_BT,PBA 9C800,1.0,526229bb
0a910279,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_HTA,PBA 11A1250,1.0,058e9b6a
b0d817af,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_HTA,PBA 12A800,1.0,46cfa5f8
c5fd7678,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_PBA_HTA,PBA 13C800,1.0,d6344558
b93cce2b,P2AE,,ATACORA,Natitingou,ATA_Nat_08,P2AE_Cable_HTA,ASTER 54mm²,100.0,e9e0a228
