ID_Helper,ID_Objectif,ID_Localite,ID_Tache,Designation,Qte_Prevue,Taches,Poids,Qte_Realisee,Taux_Realisation,Qte_Prevue_Total,Avancement_Pondere,Localite,Nom_Geo_1,Categorie
HC-33,3a692908,ATA_Nat_02,P2AE_EP,EP,46.0,EP,0.1556,46.0,1.0,46.0,0.1556,Winkè,ATACORA,Travaux BT
HC-34,002a8a20,ATA_Nat_02,P2AE_Terre,Mise à la terre,34.0,Terre,0.0667,34.0,1.0,34.0,0.0667,Winkè,ATACORA,Travaux BT
HC-35,6f459a90,ATA_Nat_02,P2AE_Fouille_HTA,Fouille réseau haute tension,3.0,Fouille_HTA,0.0333,3.0,1.0,3.0,0.0333,Winkè,ATACORA,Travaux HTA
HC-36,d2e34d0b,ATA_Nat_02,P2AE_Fouille_BT,Fouille réseau basse tension,104.0,Fouille_BT,0.0467,105.0,1.0,104.0,0.0467,Winkè,ATACORA,Travaux BT
HC-37,4e9fdffe,ATA_Nat_03,P2AE_PBA_BT,PBA 11C650,2.0,PBA_BT,0.42,2.0,1.0,539.0,0.0015584415584415584,Yimporima,ATACORA,Travaux BT
HC-38,c51be165,ATA_Nat_03,P2AE_PBA_BT,PBA 9A200,292.0,PBA_BT,0.42,291.0,0.9965753424657534,539.0,0.22675324675324673,Yimporima,ATACORA,Travaux BT
HC-39,4e9fdgfe,ATA_Nat_03,P2AE_PBA_BT,PBA 9A650,219.0,PBA_BT,0.42,222.0,1.0,539.0,0.17064935064935063,Yimporima,ATACORA,Travaux BT
HC-40,5c92c4a6,ATA_Nat_03,P2AE_PBA_BT,PBA 9C650,26.0,PBA_BT,0.42,23.0,0.8846153846153846,539.0,0.01792207792207792,Yimporima,ATACORA,Travaux BT
HC-41,e0b99835,ATA_Nat_03,P2AE_PBA_HTA,PBA 11A1250,3.0,PBA_HTA,0.3,3.0,1.0,86.0,0.010465116279069767,Yimporima,ATACORA,Travaux HTA
HC-42,c67b9eed,ATA_Nat_03,P2AE_PBA_HTA,PBA 12A800,4.0,PBA_HTA,0.3,3.0,0.75,86.0,0.010465116279069766,Yimporima,ATACORA,Travaux HTA
HC-43,d2c2e4fe,ATA_Nat_03,P2AE_PBA_HTA,PBA 13A400,48.0,PBA_HTA,0.3,38.0,0.7916666666666666,86.0,0.1325581395348837,Yimporima,ATACORA,Travaux HTA
HC-44,6540435b,ATA_Nat_03,P2AE_PBA_HTA,PBA 13C1250,1.0,PBA_HTA,0.3,1.0,1.0,86.0,0.0034883720930232558,Yimporima,ATACORA,Travaux HTA
HC-45,4202c815,ATA_Nat_03,P2AE_PBA_HTA,PBA 13C800,27.0,PBA_HTA,0.3,26.0,0.9629629629629629,86.0,0.09069767441860464,Yimporima,ATACORA,Travaux HTA
HC-46,3c0c9fd1,ATA_Nat_03,P2AE_Cable_HTA,ASTER 54mm²,1500.0,Cable_HTA,0.3333,1502.0,1.0,2850.0,0.17542105263157892,Yimporima,ATACORA,Travaux HTA
HC-47,d315473f,ATA_Nat_03,P2AE_Cable_HTA,ASTER 75mm²,1350.0,Cable_HTA,0.3333,941.0,0.697037037037037,2850.0,0.1100474736842105,Yimporima,ATACORA,Travaux HTA
HC-48,9f11f717,ATA_Nat_03,P2AE_Cable_BT,PRC 50mm²,18980.0,Cable_BT,0.3111,17486.97,0.921336670179136,25510.0,0.21325740364562915,Yimporima,ATACORA,Travaux BT
HC-49,51d6e5b9,ATA_Nat_03,P2AE_Cable_BT,PRC 70mm²,6530.0,Cable_BT,0.3111,3868.0,0.592343032159265,25510.0,0.04717110152881223,Yimporima,ATACORA,Travaux BT
HC-50,c9874f00,ATA_Nat_03,P2AE_DMT,Point Double DMT-CC,3.0,DMT-CC,0.0833,3.0,1.0,3.0,0.0833,Yimporima,ATACORA,Travaux HTA
HC-51,668671ea,ATA_Nat_03,P2AE_IACM,IACM,3.0,IACM,0.0833,3.0,1.0,3.0,0.0833,Yimporima,ATACORA,Travaux HTA
HC-52,c296ab46,ATA_Nat_03,P2AE_TFO,Transformateur 160 kVA,3.0,TFO,0.1667,3.0,1.0,3.0,0.1667,Yimporima,ATACORA,Travaux HTA
HC-53,ec97f54f,ATA_Nat_03,P2AE_EP,EP,242.0,EP,0.1556,0.0,0.0,242.0,0.0,Yimporima,ATACORA,Travaux BT
HC-54,365bfb54,ATA_Nat_03,P2AE_Terre,Mise à la terre,171.0,Terre,0.0667,2.0,0.011695906432748537,171.0,0.0007801169590643274,Yimporima,ATACORA,Travaux BT
HC-55,2f35ed01,ATA_Nat_03,P2AE_Fouille_HTA,Fouille réseau haute tension,83.0,Fouille_HTA,0.0333,82.0,0.9879518072289156,83.0,0.032898795180722896,Yimporima,ATACORA,Travaux HTA
HC-56,f0a3f7fd,ATA_Nat_03,P2AE_Fouille_BT,Fouille réseau basse tension,530.0,Fouille_BT,0.0467,526.0,0.9924528301886792,530.0,0.04634754716981132,Yimporima,ATACORA,Travaux BT
HC-57,c3c0b257,ATA_Nat_04,P2AE_PBA_BT,PBA 11C650,4.0,PBA_BT,0.42,3.0,0.75,165.0,0.0076363636363636364,Kantaborifa,ATACORA,Travaux BT
HC-58,080fae9d,ATA_Nat_04,P2AE_PBA_BT,PBA 9A200,93.0,PBA_BT,0.42,81.0,0.8709677419354839,165.0,0.20618181818181816,Kantaborifa,ATACORA,Travaux BT
HC-59,bd034300,ATA_Nat_04,P2AE_PBA_BT,PBA 9A650,61.0,PBA_BT,0.42,64.0,1.0,165.0,0.15527272727272726,Kantaborifa,ATACORA,Travaux BT
HC-60,ae93e567,ATA_Nat_04,P2AE_PBA_BT,PBA 9C650,6.0,PBA_BT,0.42,5.0,0.8333333333333334,165.0,0.012727272727272726,Kantaborifa,ATACORA,Travaux BT
HC-61,44a3e172,ATA_Nat_04,P2AE_PBA_BT,PBA 9C800,1.0,PBA_BT,0.42,0.0,0.0,165.0,0.0,Kantaborifa,ATACORA,Travaux BT
HC-62,58cd4f6b,ATA_Nat_04,P2AE_PBA_HTA,PBA 11A1250,1.0,PBA_HTA,0.3,1.0,1.0,12.0,0.024999999999999998,Kantaborifa,ATACORA,Travaux HTA
HC-63,76f3a49a,ATA_Nat_04,P2AE_PBA_HTA,PBA 12A800,1.0,PBA_HTA,0.3,0.0,0.0,12.0,0.0,Kantaborifa,ATACORA,Travaux HTA
HC-64,b4d71117,ATA_Nat_04,P2AE_PBA_HTA,PBA 13A400,2.0,PBA_HTA,0.3,2.0,1.0,12.0,0.049999999999999996,Kantaborifa,ATACORA,Travaux HTA
HC-65,9a98312d,ATA_Nat_04,P2AE_PBA_HTA,PBA 13C800,7.0,PBA_HTA,0.3,7.0,1.0,12.0,0.17500000000000002,Kantaborifa,ATACORA,Travaux HTA
HC-66,c7cc9d4f,ATA_Nat_04,P2AE_Cable_HTA,ASTER 54mm²,330.0,Cable_HTA,0.3333,383.0,1.0,330.0,0.3333,Kantaborifa,ATACORA,Travaux HTA
HC-67,e8192e4b,ATA_Nat_04,P2AE_Cable_BT,PRC 50mm²,5050.0,Cable_BT,0.3111,3764.0,0.7453465346534653,6416.0,0.18250941396508727,Kantaborifa,ATACORA,Travaux BT
HC-68,fde5e43f,ATA_Nat_04,P2AE_Cable_BT,PRC 70mm²,1366.0,Cable_BT,0.3111,1317.0,0.9641288433382138,6416.0,0.06385889962593516,Kantaborifa,ATACORA,Travaux BT
HC-69,7c9aa6d9,ATA_Nat_04,P2AE_DMT,Point Double DMT-CC,1.0,DMT-CC,0.0833,0.0,0.0,1.0,0.0,Kantaborifa,ATACORA,Travaux HTA
HC-70,1c107945,ATA_Nat_04,P2AE_IACM,IACM,1.0,IACM,0.0833,0.0,0.0,1.0,0.0,Kantaborifa,ATACORA,Travaux HTA
HC-71,14ca8f63,ATA_Nat_04,P2AE_TFO,Transformateur 160 kVA,1.0,TFO,0.1667,0.0,0.0,1.0,0.0,Kantaborifa,ATACORA,Travaux HTA
HC-72,bf37d19e,ATA_Nat_04,P2AE_EP,EP,78.0,EP,0.1556,0.0,0.0,78.0,0.0,Kantaborifa,ATACORA,Travaux BT
HC-73,c0c5c760,ATA_Nat_04,P2AE_Terre,Mise à la terre,53.0,Terre,0.0667,9.0,0.16981132075471697,53.0,0.01132641509433962,Kantaborifa,ATACORA,Travaux BT
HC-74,603ad3ca,ATA_Nat_04,P2AE_Fouille_HTA,Fouille réseau haute tension,11.0,Fouille_HTA,0.0333,8.0,0.7272727272727273,11.0,0.024218181818181823,Kantaborifa,ATACORA,Travaux HTA
HC-75,e8552acf,ATA_Nat_04,P2AE_Fouille_BT,Fouille réseau basse tension,166.0,Fouille_BT,0.0467,160.0,0.963855421686747,166.0,0.04501204819277108,Kantaborifa,ATACORA,Travaux BT
HC-76,e4360484,ATA_Nat_05,P2AE_PBA_BT,PBA 11C650,2.0,PBA_BT,0.42,2.0,1.0,195.0,0.0043076923076923075,Ouroubouga,ATACORA,Travaux BT
HC-77,3793cf65,ATA_Nat_05,P2AE_PBA_BT,PBA 9A200,100.0,PBA_BT,0.42,86.0,0.86,195.0,0.1852307692307692,Ouroubouga,ATACORA,Travaux BT
HC-78,9ce4e59e,ATA_Nat_05,P2AE_PBA_BT,PBA 9A650,75.0,PBA_BT,0.42,65.0,0.8666666666666667,195.0,0.14,Ouroubouga,ATACORA,Travaux BT
