ID_Geo,ID_Projet,Nom_Geo_1,Nom_Geo_2,Actif
f64fbc641,P2AE,ATACORA,Natitingou,True
c3a68e3f1,P2AE,ALIBORI,Gogounou,True
2ec17c4d1,P2AE,ALIBORI,Kandi,True
215bc1671,P2AE,DONGA,Djougou,True
9c6af0a41,P2AE,DONGA,Ouaké,True
526229bb1,P2AE,DONGA,Bassila,True
a9ef7a981,P2AE,BORGOU,Parakou,True
29ef61f51,P2AE,BORGOU,N'Dali,True
e9e0a2281,P2AE,BORGOU,Tchaourou,True
