ID_Helper,ID_Objectif,ID_Localite,Localite,Departement,Commune,ID_Tache,Categorie,Designation,ID_Materiel,Unite,Qte_Prevue,Qte_Realisee,Quantite_Restante,Taux_Realisation,Poids,Qte_Prevue_Total,Avancement_Pondere,Statut,Avancement_HTA_Localite_pct,Avancement_BT_Localite_pct,Avancement_Global_Localite_pct,Nb_Anomalies_Signalees
HC-251,bfaaa3a0,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Cable_BT,Travaux BT,PRC 50mm²,8e6b4946,m,3160.0,0.0,3160.0,0.0,0.3111,3425.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-252,b4574522,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Cable_BT,Travaux BT,PRC 70mm²,59dc5a38,m,265.0,0.0,265.0,0.0,0.3111,3425.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-250,568ec0d4,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Cable_HTA,Travaux HTA,ASTER 54mm²,e9e0a228,m,435.0,0.0,435.0,0.0,0.3333,435.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-253,35f9d94e,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_DMT,Travaux HTA,Point Double DMT-CC,a4425df9,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-256,188d9b1b,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_EP,Travaux BT,EP,fbeef696,U,45.0,0.0,45.0,0.0,0.1556,45.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-259,1bf85ec3,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Fouille_BT,Travaux BT,Fouille réseau basse tension,e221b25e,U,81.0,57.0,24.0,0.7037037037037037,0.0467,81.0,0.03286296296296296,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-258,9fe5c5f8,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_Fouille_HTA,Travaux HTA,Fouille réseau haute tension,f03cfc0b,U,10.0,0.0,10.0,0.0,0.0333,10.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-254,3d1e46fe,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_IACM,Travaux HTA,IACM,21f4f4d7,U,1.0,0.0,1.0,0.0,0.0833,1.0,0.0,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-243,e53d780d,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9A200,2ec17c4d,U,38.0,32.0,6.0,0.8421052631578947,0.42,80.0,0.16799999999999998,En Cours,0.0,33.20797549874643,18.662882230295494,0
HC-244,779f8ead,ALI_Gog_02,Bagou-Sinkparou,ALIBORI,Gogounou,P2AE_PBA_BT,Travaux BT,PBA 9A650,215ac167,U,35.0,25.0,10.0,0.7142857142857143,0.42,80.0,0.13125,En Cours,0.0,33.20797549874643,18.662882230295494,0
