ID_Historique,ID_Projet,Localite,Semaine,Num_Semaine,Avancement_HTA_%,Avancement_BT_%,Avancement
0eb18a28,P2AE,Alibori,2026-07-27,S31-2026,37.09,51.91,45.45
8bd8db03,P2AE,Atacora,2026-07-27,S31-2026,40.86,65.21,59.43
c7e779e6,P2AE,Borgou,2026-07-27,S31-2026,14.0,50.31,35.19
197f57a6,P2AE,Toutes,2026-07-27,S31-2026,22.58,48.56,38.64
1d603102,P2AE,Donga,2026-08-03,S32-2026,4.64,28.79,18.21
7b9b16f1,P2AE,Alibori,2026-08-03,S32-2026,37.09,56.64,48.09
5e695a84,P2AE,Atacora,2026-08-03,S32-2026,41.71,67.71,62.29
7ce8e8e0,P2AE,Borgou,2026-08-03,S32-2026,17.19,50.87,36.81
5f29ac09,P2AE,Toutes,2026-08-03,S32-2026,24.22,50.69,40.82
5b6b8114,P2AE,Donga,2026-08-10,S33-2026,4.64,28.79,18.21
8d1afbaa,P2AE,Alibori,2026-08-10,S33-2026,43.73,58.18,51.91
946c7156,P2AE,Atacora,2026-08-10,S33-2026,47.64,69.0,65.71
facaf3ed,P2AE,Borgou,2026-08-10,S33-2026,19.0,51.88,38.56
d65c9e06,P2AE,Toutes,2026-08-10,S33-2026,27.58,51.62,42.96
08f08908,P2AE,Donga,2026-08-17,S34-2026,9.93,34.86,23.93
fbd2c262,P2AE,Alibori,2026-08-17,S34-2026,43.82,61.82,54.0
392708ce,P2AE,Atacora,2026-08-17,S34-2026,49.93,70.71,67.86
6eaf4791,P2AE,Borgou,2026-08-17,S34-2026,21.56,52.38,40.06
7a79c749,P2AE,Toutes,2026-08-17,S34-2026,30.27,54.47,45.82
44f1c0d2,P2AE,Donga,2026-08-24,S35-2026,9.93,34.86,23.93
8a53936a,P2AE,Alibori,2026-08-24,S35-2026,43.82,61.82,54.0
0a6cf4c8,P2AE,Atacora,2026-08-24,S35-2026,49.93,70.71,67.86
5f02efb4,P2AE,Borgou,2026-08-24,S35-2026,21.56,52.38,40.06
afcbe3a5,P2AE,Toutes,2026-08-24,S35-2026,30.27,54.47,45.82
