Département,P2AE_Fouille_HTA,P2AE_Fouille_BT,P2AE_PBA_HTA,P2AE_PBA_BT,P2AE_Cable_HTA,P2AE_Cable_BT,P2AE_IACM,P2AE_DMT,P2AE_TFO,P2AE_EP,P2AE_Terre
ATACORA,266,2215,193,2159,4401.78,73381.04,16,11,8,90,149
ALIBORI,74,1327,76,1350,1639.13,46592.24,7,0,3,285,109
DONGA,67,1605,121,1908,0.0,16908.67,7,0,0,0,0
BORGOU,374,4853,346,5213,2320.35,40910.78,4,3,0,0,0
,781,10000,736,10630,8361.26,177792.73,34,14,11,375,258
