ID_Localite,Localite,Departement,ID_Tache,Date,Jours_Ecoules_Depuis_Debut_Chantier,Quantite_Nette_Jour,Quantite_Cumulee_Realisee,Qte_Prevue_Tache,Quantite_Restante_Tache,Taux_Realisation_Tache,Saisie_Aberrante_Neutralisee
BOR_Par_06,Bawé,BORGOU,P2AE_Fouille_HTA,2026-07-04,593,32.0,32.0,57.0,25.0,0.5614035087719298,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-04-16,514,62.0,62.0,460.0,398.0,0.13478260869565217,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-04-20,518,0.0,62.0,460.0,398.0,0.13478260869565217,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-04-27,525,0.0,62.0,460.0,398.0,0.13478260869565217,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-05-09,537,11.0,73.0,460.0,387.0,0.15869565217391304,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-05-16,544,-5.0,68.0,460.0,392.0,0.14782608695652175,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-07-02,591,59.0,127.0,460.0,333.0,0.27608695652173915,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-07-04,593,38.0,165.0,460.0,295.0,0.358695652173913,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_BT,2026-08-01,621,33.0,198.0,460.0,262.0,0.43043478260869567,False
BOR_Par_06,Bawé,BORGOU,P2AE_PBA_HTA,2026-08-01,621,28.0,28.0,60.0,32.0,0.4666666666666667,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_BT,2026-05-09,537,81.0,81.0,1066.0,985.0,0.07598499061913697,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_BT,2026-05-16,544,246.0,327.0,1066.0,739.0,0.3067542213883677,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_BT,2026-05-30,558,228.0,555.0,1066.0,511.0,0.5206378986866792,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_BT,2026-06-14,573,374.0,929.0,1066.0,137.0,0.8714821763602252,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_BT,2026-06-21,580,5.0,934.0,1066.0,132.0,0.8761726078799249,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_HTA,2026-05-16,544,11.0,11.0,93.0,82.0,0.11827956989247312,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_HTA,2026-06-06,565,26.0,37.0,93.0,56.0,0.3978494623655914,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_HTA,2026-06-14,573,12.0,49.0,93.0,44.0,0.5268817204301075,False
BOR_Par_07,Thian,BORGOU,P2AE_Fouille_HTA,2026-06-21,580,38.0,87.0,93.0,6.0,0.9354838709677419,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-05-09,537,-3.0,0.0,1066.0,1066.0,0.0,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-05-16,544,-7.0,0.0,1066.0,1066.0,0.0,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-05-30,558,38.0,28.0,1066.0,1038.0,0.02626641651031895,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-06-06,565,290.0,318.0,1066.0,748.0,0.29831144465290804,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-06-14,573,285.0,603.0,1066.0,463.0,0.5656660412757973,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-06-21,580,19.0,622.0,1066.0,444.0,0.5834896810506567,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-07-04,593,61.0,683.0,1066.0,383.0,0.6407129455909943,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-07-12,601,29.0,712.0,1066.0,354.0,0.6679174484052532,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-08-15,635,47.0,759.0,1066.0,307.0,0.7120075046904315,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_BT,2026-08-22,642,43.0,802.0,1066.0,264.0,0.7523452157598499,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_HTA,2026-06-06,565,13.0,13.0,99.0,86.0,0.13131313131313133,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_HTA,2026-06-14,573,31.0,44.0,99.0,55.0,0.4444444444444444,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_HTA,2026-06-21,580,21.0,65.0,99.0,34.0,0.6565656565656566,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_HTA,2026-07-12,601,12.0,77.0,99.0,22.0,0.7777777777777778,False
BOR_Par_07,Thian,BORGOU,P2AE_PBA_HTA,2026-08-15,635,8.0,85.0,99.0,14.0,0.8585858585858586,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_BT,2026-07-12,601,18159.0,18159.0,27840.0,9681.0,0.6522629310344827,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_BT,2026-07-18,607,7195.950000000001,25354.95,27840.0,2485.0499999999993,0.9107381465517241,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_BT,2026-07-26,615,640.43,25995.38,27840.0,1844.619999999999,0.9337420977011495,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_BT,2026-08-09,629,263.66,26259.04,27840.0,1580.9599999999991,0.9432126436781609,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_BT,2026-08-22,642,550.54,26809.58,27840.0,1030.4199999999983,0.962987787356322,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_HTA,2026-07-26,615,1985.25,1985.25,1990.0,4.75,0.9976130653266332,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Cable_HTA,2026-08-22,642,43.1,2028.35,1990.0,0.0,1.0192713567839196,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_DMT,2026-08-22,642,3.0,3.0,3.0,0.0,1.0,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-04-09,507,374.0,374.0,596.0,222.0,0.62751677852349,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-04-12,510,-46.0,328.0,596.0,268.0,0.5503355704697986,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-04-20,518,121.0,449.0,596.0,147.0,0.7533557046979866,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-04-27,525,9.0,458.0,596.0,138.0,0.7684563758389261,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-05-04,532,29.0,487.0,596.0,109.0,0.8171140939597316,False
BOR_Par_08,Kpérou-Guéra,BORGOU,P2AE_Fouille_BT,2026-08-02,622,93.0,580.0,596.0,16.0,0.9731543624161074,False
